-123.320718089762, 44.6032659526585, 306.487
-123.3617962563, 44.589099735502, 298.2
-123.357538272246, 44.5758329607045, 290.722
-123.348259006389, 44.5825787783981, 277.502
-123.327480958119, 44.5992184620424, 280.038
-123.342420934013, 44.604839976787, 258.754
-123.321742400686, 44.5859516872449, 235.857
-123.353338679293, 44.6032659526585, 234.317
-123.326791599048, 44.5841528025266, 224.971
-123.335162734486, 44.5657142341641, 224.372
-123.300506326573, 44.6050648373768, 211
-123.348496550108, 44.5924726443488, 201.911
-123.322422924093, 44.5931472261181, 198.702
-123.307632335103, 44.5983190196832, 194.305
-123.272488418763, 44.5992184620424, 189.488
-123.328285198152, 44.5899991778611, 185.873
-123.344236883812, 44.5758329607045, 180.574
-123.347565988101, 44.5675131188824, 179.8
-123.313354139537, 44.5899991778611, 168.788
-123.301758040681, 44.5807798936798, 156.461
-123.298336128892, 44.5875257113734, 158.75
-123.291643909116, 44.542553593416, 146.502
-123.265807789803, 44.6050648373768, 147.637
-123.305774225631, 44.5866262690143, 142.77
-123.291655657768, 44.5807798936798, 135.522
-123.301763199558, 44.5917980625794, 133.791
-123.264234587098, 44.5992184620424, 135.794
-123.337434949187, 44.5400801269284, 135.85
-123.332484381092, 44.549973992879, 133.696
-123.325956048322, 44.5582938347011, 128.819
